DB.ID,DB.REVISION,PUB.CitationKey,PUB.Title,PUB.Author,PUB.Year,PUB.Link,PUB.Citations,PUB.CitationsPerYear,META.Name,META.Description,META.SPECIFIC_NEW_USE_CASE,META.SCOPE,META.FOCUS,META.GOAL,META.TOPIC,META.SETTING,MAPPING.HAS_MAPPING,MAPPING.FROM,MAPPING.ORIGIN,MAPPING.TO,MAPPING.CONCEPT,MAPPING.REPRESENTATION,MAPPING.MEANING,MAPPING.LEVEL,OUTPUT.ACTIVATION,OUTPUT.TRANSITION_TO_FOREGROUND,OUTPUT.MODALITY,OUTPUT.ACCESS,OUTPUT.INFORMATION_BANDWIDTH,OUTPUT.TECH,OUTPUT.SIMILARITY,EVAL.HAS_EVALUATION,EVAL.SAMPLE_SIZE,EVAL.TIME_PERIOD,EVAL.SETTING,EVAL.STUDY_GROUP,EVAL.DEVSTAGE,EVAL.USABILITY,EVAL.COGNITIVE_LOAD,EVAL.CHANGED_BEHAVIOUR,META.PSYCHOLOGICAL_GROUNDING,OUTPUT.INFORMATION_PPP,OUTPUT.BACKGROUND_EMBEDDING,OUTPUT.CUSTOM_HARDWARE,OUTPUT.CUSTOM_HARDWARE_ISSUES,OUTPUT.REMOTE_UPDATABILITY,OUTPUT.TEMPORAL_CONTEXT,OUTPUT.UPDATE_DYNAMIC,OUTPUT.AESTHETIC_EMPHASIS
0bidzgydy55l,1,nakajimaDesigningPersuasiveAmbient2011,Designing Persuasive Ambient Mirrors to Motivate Desirable Lifestyle.,"Nakajima, Tatsuo",2011,,,0,Persuasive Art,A flat display near a bookshelf showing a Mona Lisa image that distorts or ages based on how books are arranged and used,YES,ADAIS,PROTOTYPE,BEHAVIOURAL_CHANGE,HEALTH,HOME,YES,Daily steps counter,PERSONAL,"Mona Lisa Age, Tree Health, Number/Size of objects",,,,,USER,MAKE_AWARE,VISUAL,GROUP,HIGH,SCREEN,ART,NO,,,IN_SITU,USERS,PROTOTYPE,COMMENTS,[NA],SUBJECTIVE,NONE,PRESENCE,CAMOUFLAGE,YES,NONE,NOT_MENTIONED,,,
0buwz1rhr9x,1,smithAdaptivityServiceAaaS2020,Adaptivity as a Service (AaaS): Personalised Assistive Robotics for Ambient Assisted Living,"Smith, R",2020,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c5n6n4fb8ie,1,alonsoRobotControlledBlinking2009,A Robot Controlled by Blinking for Ambient Assisted Living,"Alonso, Alonso A. and de la Rosa, Ramón and del Val, Lara and Jiménez, María I. and Franco, Samuel",2009,,10,0.9,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d7hskxojqyo,2,williamson2007devices,Devices as Interactive Physical Containers: The Shoogle System,"Williamson, John and Murray-Smith, Roderick and Hughes, Stephen",2007,,7,0.5,Shoogle: Keys in a pocket,Haptics,YES,ADAIS,PROTOTYPE,"NOTIFICATION,INCREASE_AWARENESS","EVENTS,SOCIAL",OTHER,,,,,,,,,USER,MAKE_AWARE,"AUDIO,HAPTIC",PERSONAL,MEDIUM,"MOTOR,SPEAKER",AUGMENTATION,NO,,,,,,,,,NONE,"PRESENCE,PULL",MIMICRY,YES,NONE,NOT_MENTIONED,,,
0dddz4b4dxkw,1,kurczakHearingBelievingEvaluating2011,Hearing Is Believing: Evaluating Ambient Audio for Location-Based Games,"Kurczak, Jason and Graham, T. C. Nicholas and Joly, Claire and Mandryk, Regan L.",2011,,18,1.9,,,,,,,,,,,,,,,,,,,AUDIO,,,SPEAKER,,YES,,,,,,"INTERVIEW,QUESTIONNAIRE",,,,,,,,,,,
0djgn958a5va,1,cookAmbientIntelligenceTechnologies2009,"Ambient Intelligence: Technologies, Applications, and Opportunities","Cook, Diane J. and Augusto, Juan C. and Jakkula, Vikramaditya R.",2009,,1049,91.2,,,,AMI,,,HEALTH,MEDICAL,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
0dorojcnqmhp,1,queirosLivingUsabilityLab2013,Living Usability Lab Methodology for the Development of Ambient Assisted Living Systems and Services,"Queirós, A and Cerqueira, M and Martins, AI and Silva, AG",2013,,1,0.1,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e1mqok6xvy6,1,tothSystemPrototypeDescription2010,A System Prototype Description for Health Services and Ambient Assisted Living,"Toth, A and Bakonyi-Kiss, G and Vajda, L",2010,,3,0.3,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e45bjy8eskr,1,anastasiouSpeechGestureInteraction2012,Speech and Gesture Interaction in an Ambient Assisted Living Lab,"Anastasiou, D and Jian, C and Zhekova, D",2012,,21,2.5,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ey4orthpu9h,1,kimDistanceCorrectionSystem2008,Distance Correction System for Localization Based on Linear Regression and Smoothing in Ambient Intelligence Display,"Kim, Dae-Hee and Choi, Jae-Hun and Lim, Myung-Eun and Park, Soo-Jun",2008,,2,0.2,Distance Correction System for Ambient Intelligence Display,An ambient intelligence display using ultrasonic and PIR sensors to track user distance/location and present image or music adapted to the user's distance,NO,ADAIS,"DEV,PROTOTYPE","ASSISTED_LIVING,AID_IN_ACTIVITY",HEALTH,"HOME,MEDICAL",,,,,,,,,USER,,"VISUAL,AUDIO",PUBLIC,HIGH,"SCREEN,SPEAKER",ARTIFICIAL,NO,,,,,,,,,NONE,PRESENCE,,YES,NONE,NOT_MENTIONED,,,
0fkbvtpmx30s,1,wakkaryAmbientIntelligencePlatform2005,An Ambient Intelligence Platform for Physical Play,"Wakkary, Ron and Hatala, Marek and Lovell, Robb and Droumeva, Milena",2005,,32,2.1,,,,AMI,"DEV,PROTOTYPE",,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
0g4k27xb7cjj,1,venutoUsercenteredAmbientAssisted2018,User-Centered Ambient Assisted Living: Brain Environment Interface,"Venuto, Daniela De and Mezzina, Giovanni",2018,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0g7eg1wy6rwb,1,rockerRequirementsGuidelinesDesign2009,Requirements and Guidelines for the Design of Team Awareness Systems,"Röcker, Carsten",2009,,6,0.5,,,,,,,,WORKPLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0h5hsrcol35j,1,suryadevaraDeterminingWellnessAmbient2014,Determining Wellness through an Ambient Assisted Living Environment,"Suryadevara, NK and Mukhopadhyay, SC",2014,,91,14,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0h6l5dtcdfrl,1,alsulamiDecisionmakingFrameworkUsing2020,Decision-Making Framework for Using Ambient Assisted Living,"Alsulami, Majid H. and Alsaqer, Mohammed S. and Atkins, Anthony S.",2020,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0hr03yb2ool7,1,nazarishirehjini3DSimRapidPrototyping2005,3DSim: Rapid Prototyping Ambient Intelligence,"Nazari Shirehjini, Ali A. and Klar, Felix",2005,,53,3.4,3DSim,,,AMI,DEV,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
0hr16jpw9kdc,1,vatavuDesigningInteractivityAwareness2013,On Designing Interactivity Awareness for Ambient Displays,"Vatavu, Radu-Daniel",2013,,10,1.3,Interactivity Awareness for Ambient Displays,A conceptual study and set of design techniques for making passersby aware that public ambient displays are interactive and what their interface is,NO,ADAIS,"ISSUES,CONCEPT,EVAL",INCREASE_AWARENESS,OTHER,WORKPLACE,,,,,,,,,USER,MAKE_AWARE,VISUAL,PUBLIC,HIGH,SCREEN,ARTIFICIAL,YES,33,HOURS,IN_PRESENTATION,USERS,PRESENTATION,QUESTIONNAIRE,[NA],[NA],NONE,"PRESENCE,PULL",PERIPHERAL_PLACEMENT,NA,NA,NOT_MENTIONED,,,
0hx5psu3t5oc,1,krieg-brucknerTechnikFurSenioren2009,Technik Für Senioren in Spe Im Bremen Ambient Assisted Living Lab Technology for Seniors to Be in the Bremen Ambient Assisted Living Lab,"Krieg-Brückner, B and Gersdorf, B",2009,,17,1.5,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0i6s1l2wvhw,1,yiSecureLightweightAuthentication2019,A Secure and Lightweight Authentication Scheme for Ambient Assisted Living Systems,"Yi, MK and Choi, H and Whangbo, TK",2019,,,0,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ihycef6d6b,1,riggerArtBasedImprovingRoomClimate2014,An Art-Based IS for Improving Room-Climate,"Rigger, Paul and Wortmann, Felix",2014,,1,0.2,Quantified-Art,An LCD display embedded in a standard art frame showing a classical painting (Marilyn Monroe) that is modified in real-time to reflect room-climate conditions.,YES,ADAIS,"PROTOTYPE,USECASE","INCREASE_AWARENESS,BEHAVIOURAL_CHANGE",HEALTH,"HOME,EDUCATION",,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,PUBLIC,MEDIUM,SCREEN,ART,NO,,,,,,,,,NONE,PRESENCE,CAMOUFLAGE,YES,NONE,YES,,,
0j2kgavf2yx,1,fanSparkActivityExploring2012,A Spark of Activity: Exploring Informative Art as Visualization for Physical Activity,"Fan, Chloe and Forlizzi, Jodi and Dey, Anind",2012,,88,10.4,Spark,informative art,YES,ADAIS,"PROTOTYPE,EVAL,USECASE",BEHAVIOURAL_CHANGE,HEALTH,"WORKPLACE,HOME",,,,,,,,,CONTINUOUS,USER_POLL,VISUAL,HOUSEHOLD,HIGH,SCREEN,ART,YES,6,WEEKS,IN_SITU,USERS,PROTOTYPE,INTERVIEW,[NA],SUBJECTIVE,NONE,"PRESENCE,PULL","CAMOUFLAGE,PERIPHERAL_PLACEMENT",NO,NA,NOT_MENTIONED,,,
0jgosj7ypcuc,1,kappelShowmeWaterConsumption2009,"show-Me"": Water Consumption at a Glance to Promote Water Conservation in the Shower","Kappel, Karin and Grechenig, Thomas",2009,,138,12,show-Me,LEDs assembled on a stick mounted in the shower that light up to visualize an increasing imaginary water level based on water consumed,YES,ADAIS,PROTOTYPE,"INCREASE_AWARENESS,BEHAVIOURAL_CHANGE","RESOURCES,HEALTH",HOME,,,,,,,,,USER,USER_POLL,VISUAL,PERSONAL,MEDIUM,LED,ASSOCIATED,YES,9,WEEKS,IN_SITU,USERS,PROTOTYPE,QUESTIONNAIRE,[NA],"OBJECTIVE,SUBJECTIVE",NONE,PRESENCE,"PERIPHERAL_PLACEMENT,AUGMENTATION",YES,NONE,NOT_MENTIONED,,,
0jy68nsf0lfp,1,ronzaniBattleConceptsUbiquitous2009,"The Battle of Concepts: Ubiquitous Computing, Pervasive Computing and Ambient Intelligence in Mass Media","Ronzani, D",2009,,43,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0lbwg4qtt5s,1,loscoDesignAmbientAssisted2017,Design for the Ambient Assisted Living,"Losco, G and Lupacchini, A and Bradini, L and Paciotti, D",2017,,2,0.6,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0lrh3zkzubf,1,wagnerDemonstrationMicroservicesBased2018,Demonstration of a Micro-Services Based Multi-Purpose Sensor Platform for Supporting Ambient Assisted Living Systems,"Wagner, Stefan and Hunnerup, Esben and Miranda, Jorge",2018,,1,0.4,,,,AS,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0lv3b7oxfbqa,1,garcia-vazquezAmbientInformationSystems2009,Ambient Information Systems for Supporting Ageing in Place,"García-Vázquez, Juan P. and Rodríguez, Marcela D. and Andrade, Angel G. and Saldaña, Diana and Mercado, Fabian and Ruelas, Emanuelle",2009,,6,0.5,Wind-bells,"Wind-bells at the home entrance that illuminate to represent exercise days completed and ring to signal a neighbour leaving to walk, encouraging older adults to exercise",YES,"ADAIS,ADAIS",PROTOTYPE,"BEHAVIOURAL_CHANGE,INCREASE_AWARENESS,ASSISTED_LIVING",HEALTH,"MEDICAL,HOME",,,,,,,,,EVENT,MAKE_AWARE,"VISUAL,AUDIO",HOUSEHOLD,MEDIUM,"LED,SPEAKER",FAMILIAR,NO,,,,,,,,,NONE,"PUSH,PRESENCE",AUGMENTATION,YES,NONE,NOT_MENTIONED,,,
0mj86gp36uf,1,vanhoofIntelligentLightTherapy2013,Intelligent Light Therapy for Older Adults: Ambient Assisted Living,"van Hoof, J and Wouters, EJM and Schräder, B",2013,,4,0.5,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0mvj68utmyg,1,hellerPowerSocketOutletPower2011,PowerSocket: Towards on-Outlet Power Consumption Visualization,"Heller, Florian and Borchers, Jan",2011,,29,3.1,PowerSocket,"An ambient display integrated into a power outlet that visualizes the current power consumption at that socket through rotating colored light, brightness, animations, LED bar graph, or LCD.",YES,ADAIS,"CONCEPT,USECASE",INCREASE_AWARENESS,RESOURCES,HOME,,,,,,,,,CONTINUOUS,MAKE_AWARE,VISUAL,HOUSEHOLD,MEDIUM,SCREEN,ARTIFICIAL,YES,14,HOURS,IN_LAB,USERS,SIMULATION,QUESTIONNAIRE,[NA],[NA],NONE,PRESENCE,AUGMENTATION,NO,NA,NOT_MENTIONED,,,
0nb26t4awcd,1,pogorelcAmbientBloomNew2013,"Ambient Bloom: New Business, Content, Design and Models to Increase the Semantic Ambient Media Experience","Pogorelc, Bogdan and Lugmayr, Artur and Stockleben, Björn and Vatavu, Radu-Daniel and Tahmasebi, Nina and Serral, Estefanía and Stojmenova, Emilija and Imperl, Bojan and Risse, Thomas and Zenz, Gideon and Gams, Matjaž",2013,,7,0.9,,,,,,,HEALTH,MEDICAL,,,,,,,,,,,,,,,,YES,,,,,,INTERVIEW,,,,,,,,,,,
0o6rtqhzcbh,1,weiserComingAgeCalm1997,The Coming Age of Calm Technology,"Weiser, Mark and Brown, John Seely",1997,,1484,63.1,Dangling String,An eight-foot plastic string hanging from a ceiling-mounted motor connected to an Ethernet cable that twitches and whirls according to network traffic,YES,ADAIS,USECASE,INCREASE_AWARENESS,OTHER,WORKPLACE,YES,Bits Network traffic,LOCAL,Movement Cable,Measured Network Traffic,Moving Cable,Sense of Network Activity,INDEXICAL,CONTINUOUS,MAKE_AWARE,"AUDIO,VISUAL",GROUP,LOW,MOTOR,"ART,ARTIFICIAL",NO,0,,,,,,,,"PERIPHERAL_ATTENTION,SPATIAL_OBJECT_BINDING",PRESENCE,PERIPHERAL_PLACEMENT,YES,NONE,NOT_MENTIONED,,,
0ov8qm7i75ve,1,panekExperiencesUserCentric2011,Experiences from User Centric Engineering of Ambient Assisted Living Technologies in the Living Lab Schwechat,"Panek, P and Hlauschek, W and Schrenk, M",2011,,7,0.7,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0plonosggeqi,1,jaschinskiVoicesViewsInformal2017,Voices and Views of Informal Caregivers: Investigating Ambient Assisted Living Technologies,"Jaschinski, Christina and Ben Allouch, Somaya",2017,,3,0.9,,,,,,ASSISTED_LIVING,HEALTH,"MEDICAL,HOME",,,,,,,,,,,,,,,,YES,,,IN_SITU,,,INTERVIEW,,,,,,,,,,,
0pn7v4b1ya2d,1,mcnaullMultiagentSystemFeedback2012,Multi-Agent System Feedback and Support for Ambient Assisted Living,"McNaull, James and Augusto, Juan Carlos and Mulvenna, Maurice and McCullagh, Paul",2012,,5,0.6,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ppnm3ut6g3,1,shannonUsingAmbientSocial2010,Using Ambient Social Reminders To Stay In Touch With Friends,"Shannon, Ross and Kenny, Eugene and Quigley, Aaron",2010,,5,0.5,,,,,,,"SOCIAL,HEALTH",,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
0q41u1dgs1e,1,ho-chingCanYouSee2003,Can You See What I Hear? The Design and Evaluation of a Peripheral Sound Display for the Deaf,"Ho-Ching, F Wai-ling and Mankoff, Jennifer and Landay, James A",2003,,92,5.3,Positional Ripples,A peripheral visual display showing an overhead map of a room where environmental sounds appear as expanding rings indicating sound position and amplitude,YES,ADAIS,"PROTOTYPE,EVAL",INCREASE_AWARENESS,"EVENTS,SOCIAL",WORKPLACE,,,,,,,,,EVENT,MAKE_AWARE,"AUDIO,VISUAL",PERSONAL,MEDIUM,SCREEN,ARTIFICIAL,YES,8,HOURS,IN_LAB,USERS,WOZ,"INTERVIEW,QUESTIONNAIRE",DUAL_TASK,[NA],"PERIPHERAL_ATTENTION,SALIENCE","PUSH,PRESENCE",PERIPHERAL_PLACEMENT,NO,NA,NOT_MENTIONED,,,
0sdn9e2dc2x,1,seitingerUrbanPixelsPainting2009,Urban Pixels: Painting the City with Light,"Seitinger, Susanne and Perry, Daniel S. and Mitchell, William J.",2009,,67,5.8,Urban Pixels,"A wireless network of physically instantiated LED pixel nodes mounted on building facades to create flexible, low-resolution, responsive urban light displays",YES,ADAIS,"PROTOTYPE,DEV,USECASE",OTHER,OTHER,URBAN,,,,,,,,,USER,MAKE_AWARE,VISUAL,PUBLIC,MEDIUM,LED,"ART,ARTIFICIAL",NO,50,DAYS,IN_SITU,USERS,PROTOTYPE,"INTERVIEW,OBSERVATION,COMMENTS",[NA],[NA],NONE,"PUSH,PRESENCE",AUGMENTATION,YES,NONE,NO,,,
0tai893g1a5n,1,bakkerDesigningPeripheralInteraction2015,Designing for Peripheral Interaction: Seamlessly Integrating Interactive Technology in Everyday Life,"Bakker, Sj C. and Hausen, Doris and den Hoven, Van and Selker, Ted",2015,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,
0tl3dlx7ntye,1,sernaniCombiningArtificialIntelligence2015,Combining Artificial Intelligence and Netmedicine for Ambient Assisted Living: A Distributed BDI-based Expert System,"Sernani, P and Claudi, A and Dragoni, AF",2015,,6,1.1,,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0txa8ycw3znh,1,voigtmannSupportuDesigningAmbient2014,Support-u: Designing an Ambient Assisted Living System Using Interdisciplinary Development Patterns,"Voigtmann, Christian and Söllner, Matthias and David, Klaus and Leimeister, Jan Marco",2014,,1,0.2,Support-u,,,,,ASSISTED_LIVING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
